"","Common_Name","Retrieval_Year","Trip_Type","Catch_Latitude","Catch_Longitude","Catch_Handling","Condition_On_Arrival","Catch_Fate","Sex_Of_Shark","Shark_Length_Estimate"
"1","Sandbar Shark",2023,"Longline",28.5992,-84.9805,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Male (Claspers)","Large (Greater than 2m)"
"2","Dogfish, Spiny (Cuban)",2019,"Longline",27.7701,-95.2303,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"3","Dogfish, Smooth (Florida)",2019,"Longline",28.2193,-90.2567,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"4","Dogfish, Smooth (Florida)",2019,"Longline",27.9108,-94.9012,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"5","Nurse Shark",2023,"Longline",25.3547,-82.8871,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"6","Dogfish, Smooth (Florida)",2019,"Longline",28.1563,-90.208,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
"7","Sandbar Shark",2020,"Longline",26.4961,-83.0757,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"8","Shark, Unidentified",2019,"Longline",25.769,-84.3006,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"9","Blacknose Shark",2023,"Longline",26.0064,-82.8493,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"10","Dogfish, Smooth (Florida)",2019,"Longline",28.1411,-90.5642,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"11","Dogfish, Smooth (Florida)",2019,"Longline",28.1902,-90.2177,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"12","Dogfish, Spiny (Cuban)",2021,"Longline",27.752,-94.1537,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"13","Sandbar Shark",2023,"Longline",27.8872,-83.7503,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
